K,gate_1_based,gate_0_based,gate_name,mean_phi,std_phi,num_runs,run_values
1,19,18,RY,-0.0012293089862930179,0.006478735505501965,5,"[-0.005058020989143977, -0.006074991159902875, -0.0023587773511103464, -0.004150319562286263, 0.011495564130978374]"
8,2,1,P,0.007611527597538007,0.0016852734978321019,5,"[0.005384762280787601, 0.007391783692239132, 0.006622879679633552, 0.008252912490936789, 0.010405299844092962]"
8,4,3,P,0.0052370077714857235,0.0028290024505717806,5,"[0.009995116992036732, 0.0030472532178210904, 0.004539237841633551, 0.006576052609991761, 0.0020273781959454854]"
8,5,4,CX,0.004224761679940022,0.000471653881978215,5,"[0.0048892274973336034, 0.004695078032668062, 0.003741422319723745, 0.003855630464029992, 0.0039424500859447055]"
8,6,5,P,0.00020457887683134895,0.0011907131053660452,5,"[9.072610380965014e-05, -0.0012817360856928915, -0.0006594124086809065, 0.00217299156355575, 0.0007003252111651428]"
8,7,6,CX,0.01609190275448232,0.002368136737231824,5,"[0.012434953353461797, 0.016704945196344793, 0.018934414081798957, 0.01795201912887626, 0.014433182011929785]"
8,8,7,H,0.016096764388234243,0.0020580412836584596,5,"[0.01251092318881649, 0.018307429077120504, 0.01527782129981141, 0.016772738707820912, 0.017614909667601892]"
8,9,8,P,0.004717637743604328,0.0015275448359660623,5,"[0.003553844537231708, 0.0034643160431808017, 0.004924778402777462, 0.007591358295213846, 0.004053891439617823]"
8,10,9,H,0.008803609875405077,0.0012237343188860929,5,"[0.007367645208690792, 0.009719420566953194, 0.009217328464139323, 0.010341768199233192, 0.0073718869380088895]"
8,11,10,P,0.0007702752164183715,0.0007197889939157923,5,"[-6.18795181427375e-05, 0.0012507157350972633, 7.652046280141937e-05, 0.001858420190684946, 0.000727599211650966]"
8,12,11,CX,0.005343819010388654,0.0011376825151519986,5,"[0.005980417788009243, 0.005349073558809341, 0.003964090769687718, 0.007107468301653375, 0.0043180446337835925]"
