benchmark_id,family_role,property,group,score,abs_share
I21,interior,entanglement,E,0.14914092918565588,0.32132504412234447
I21,interior,entanglement,M,-0.17414940330723544,0.37520595457681644
I21,interior,entanglement,X,0.14085316305385004,0.30346900130083904
I22,interior,magic,E,0.0,0.0
I22,interior,magic,M,0.32649402512723014,0.9332065418962497
I22,interior,magic,X,0.023368529912089816,0.0667934581037502
I22,interior,entanglement,E,0.15625706549737375,0.5065162088102945
I22,interior,entanglement,M,0.15223664660789188,0.49348379118970453
I22,interior,entanglement,X,-2.868816295631405e-16,9.299431991834218e-16
I23,interior,magic,E,-1.486218555631543e-16,3.967106123931075e-16
I23,interior,magic,M,0.044375802264710947,0.11845062507908374
I23,interior,magic,X,0.33025963959204035,0.8815493749209158
I23,interior,entanglement,E,0.6105555555555544,0.8459051724137935
I23,interior,entanglement,M,-0.055555555555555344,0.07697044334975359
I23,interior,entanglement,X,-0.055666666666666365,0.07712438423645296
I24,interior,magic,E,0.030158804337703363,0.07839297373065762
I24,interior,magic,M,0.3294543227380449,0.8563636601324862
I24,interior,magic,X,0.025099977970156746,0.06524336613685605
I24,interior,entanglement,E,0.35050944721159555,0.4929699175404463
I24,interior,entanglement,M,0.3605064479577832,0.5070300824595528
I24,interior,entanglement,X,-6.017408793468348e-16,8.463114304969049e-16
I25,interior,magic,E,-0.139572362519303,0.22174427627143997
I25,interior,magic,M,0.48985701832501116,0.7782557237285601
I25,interior,magic,X,0.0,0.0
I25,interior,entanglement,E,0.9439313927985767,0.9549475928249789
I25,interior,entanglement,M,-0.0445326861632714,0.045052407175021104
I25,interior,entanglement,X,0.0,0.0
I31,interior,magic,E,-0.026763980750003514,0.040913891883560295
I31,interior,magic,M,0.24341960865016435,0.37211368681208135
I31,interior,magic,X,0.3839702815191033,0.5869724213043583
I31,interior,entanglement,E,0.0469361935253932,0.450507644976952
I31,interior,entanglement,M,0.04571140262970039,0.43875173507963017
I31,interior,entanglement,X,0.011537524893838797,0.11074061994341777
I32,interior,magic,E,0.20542616090377908,0.3352535620859912
I32,interior,magic,M,0.3642849673449622,0.5945096397628822
I32,interior,magic,X,0.04303750184959635,0.07023679815112673
I32,interior,entanglement,E,0.16357697406473445,0.524785718519767
I32,interior,entanglement,M,0.14812543759030555,0.4752142814802324
I32,interior,entanglement,X,1.8533323024409275e-16,5.945838829415292e-16
I33,interior,magic,E,0.1701733147234791,0.29045894975884584
I33,interior,magic,M,0.25043504204056893,0.4274530317054454
I33,interior,magic,X,0.16526897586683104,0.2820880185357088
I33,interior,entanglement,E,0.2546771769064421,0.5018867740824792
I33,interior,entanglement,M,-1.389999226830696e-16,2.739241248097688e-16
I33,interior,entanglement,X,0.25276232948825894,0.49811322591752066
I34,interior,magic,E,-4.4704980458239644e-17,7.08541297865316e-17
I34,interior,magic,M,0.4850731085291171,0.7688054582594883
I34,interior,magic,X,0.14587078412648694,0.2311945417405116
I34,interior,entanglement,E,0.40697613356775214,0.5848810539292937
I34,interior,entanglement,M,0.22845575169062515,0.3283225472060201
I34,interior,entanglement,X,0.060395293333992565,0.0867963988646862
I35,interior,magic,E,-0.10594295751538167,0.13167811051477407
I35,interior,magic,M,0.6524718836089557,0.8109672111538782
I35,interior,magic,X,0.046145287367900065,0.05735467833134771
I35,interior,entanglement,E,0.4774821175346463,0.5268086680022903
I35,interior,entanglement,M,0.4019986448896792,0.4435273340633349
I35,interior,entanglement,X,0.02688647588499262,0.029663997934374818
I41,interior,magic,E,0.12972354624922272,0.15074450878351883
I41,interior,magic,M,0.5885724940612967,0.6839473177082711
I41,interior,magic,X,0.14225634263243814,0.16530817350821014
I41,interior,entanglement,E,0.3738891735613811,0.5793199010032667
I41,interior,entanglement,M,-0.2715041107257273,0.4206800989967324
I41,interior,entanglement,X,5.79832478327565e-16,8.984172789588888e-16
I42,interior,magic,E,0.05046171598452921,0.060453407346979425
I42,interior,magic,M,0.61205962377438,0.7332507235389206
I42,interior,magic,X,0.17219945099649475,0.20629586911409986
I42,interior,entanglement,E,0.1510414440336274,0.496031746031743
I42,interior,entanglement,M,0.15345810713816666,0.5039682539682548
I42,interior,entanglement,X,6.554756737386924e-16,2.152632643352835e-15
I43,interior,magic,E,-0.0035118508793907394,0.004166181062421165
I43,interior,magic,M,0.46291805114187057,0.5491692228272406
I43,interior,magic,X,0.37651254977650966,0.4466645961103383
I43,interior,entanglement,E,0.2780516761891437,0.533052717280428
I43,interior,entanglement,M,-0.001723734168019518,0.0033045698365324126
I43,interior,entanglement,X,0.2418459362288377,0.4636427128830396
I44,interior,magic,E,0.16312774061124377,0.19215632943599828
I44,interior,magic,M,0.41090006306481175,0.4840197478840838
I44,interior,magic,X,0.2749046311286846,0.3238239226799179
I44,interior,entanglement,E,0.329363971706914,0.4842167308745562
I44,interior,entanglement,M,0.3508355148164888,0.5157832691254433
I44,interior,entanglement,X,3.7111054969803566e-16,5.455907524935586e-16
I45,interior,magic,E,0.14609870456259808,0.16834788742658682
I45,interior,magic,M,0.7217393586047156,0.8316521125734131
I45,interior,magic,X,0.0,0.0
I45,interior,entanglement,E,0.4536820204260868,0.4939161321979155
I45,interior,entanglement,M,0.46485857958876214,0.5060838678020845
I45,interior,entanglement,X,0.0,0.0
I51,interior,magic,E,0.17039534111953256,0.15867988571051617
I51,interior,magic,M,0.527105096277906,0.4908642213177325
I51,interior,magic,X,0.37633031535713035,0.3504558929717513
