benchmark_id,family_role,property,gate_idx,group,phi
E5,entanglement_axis,magic,4,X,4.5001039931473017e-17
E5,entanglement_axis,magic,5,E,-7.431092778157714e-17
E5,entanglement_axis,entanglement,0,M,0.4526443068550753
E5,entanglement_axis,entanglement,1,M,0.0
E5,entanglement_axis,entanglement,2,X,0.0013564275548472796
E5,entanglement_axis,entanglement,3,E,0.3789165814799336
E5,entanglement_axis,entanglement,4,X,-1.8281672472160914e-16
E5,entanglement_axis,entanglement,5,E,0.08175959774495845
I11,interior,magic,0,M,0.0
I11,interior,magic,1,M,-2.1701159388006394e-16
I11,interior,magic,2,X,0.13317260813013293
I11,interior,magic,3,E,0.0
I11,interior,magic,4,E,0.0
I11,interior,entanglement,0,M,0.0
I11,interior,entanglement,1,M,-1.1146639167236572e-16
I11,interior,entanglement,2,X,0.04925162304047101
I11,interior,entanglement,3,E,0.0
I11,interior,entanglement,4,E,0.04801871021073588
I12,interior,magic,0,M,0.1871076096085674
I12,interior,magic,1,X,-2.4632148173016805e-16
I12,interior,magic,2,E,-0.004361485058422904
I12,interior,magic,3,X,-0.004265147035044265
I12,interior,magic,4,M,0.0018566964505742109
I12,interior,magic,9,E,3.68594044175552e-17
I12,interior,magic,10,E,-1.3766765505351941e-17
I12,interior,entanglement,0,M,0.10605069546151387
I12,interior,entanglement,1,X,-2.8214467799140644e-16
I12,interior,entanglement,2,E,0.09415130640382395
I12,interior,entanglement,3,X,6.483702463810914e-17
I12,interior,entanglement,4,M,4.470498045823963e-16
I12,interior,entanglement,9,E,0.4714891459679575
I12,interior,entanglement,10,E,-0.4610510853910366
I13,interior,magic,2,M,0.0
I13,interior,magic,3,M,-4.4349709090359583e-16
I13,interior,magic,4,E,0.0
I13,interior,magic,7,M,1.0391687510491465e-16
I13,interior,magic,9,M,0.0
I13,interior,magic,10,M,9.473903143468004e-18
I13,interior,magic,11,M,-1.341149413747189e-16
I13,interior,magic,12,M,0.006373092301299961
I13,interior,magic,13,X,0.12833771175669634
I13,interior,magic,14,E,0.0
I13,interior,entanglement,2,M,0.0
I13,interior,entanglement,3,M,-4.843532982098016e-16
I13,interior,entanglement,4,E,0.0
I13,interior,entanglement,7,M,1.1087427272589896e-16
I13,interior,entanglement,9,M,0.0
I13,interior,entanglement,10,M,-6.335672727194227e-17
I13,interior,entanglement,11,M,-1.6993813763595726e-16
I13,interior,entanglement,12,M,0.1932935622256756
I13,interior,entanglement,13,X,0.18114151116237184
I13,interior,entanglement,14,E,0.20582536488470765
I14,interior,magic,0,M,0.011395615946967114
I14,interior,magic,1,M,0.11985274195363674
I14,interior,magic,2,X,-3.375077994860476e-17
I14,interior,magic,3,E,0.0
I14,interior,magic,4,M,-0.017749388314432714
I14,interior,magic,5,M,-0.017461213644086742
I14,interior,magic,6,X,-0.0920167504039349
I14,interior,magic,7,E,0.00015107210204655738
I14,interior,magic,8,E,-0.0862230127779032
I14,interior,magic,9,X,0.0025484792667911727
I14,interior,magic,10,E,0.00017376039712473635
I14,interior,magic,11,M,0.04431502915984967
I14,interior,magic,12,M,0.14989367543688398
I14,interior,entanglement,0,M,0.00429338216465161
I14,interior,entanglement,1,M,0.02935042340033171
I14,interior,entanglement,2,X,1.3174646558885192e-16
I14,interior,entanglement,3,E,0.0
I14,interior,entanglement,4,M,-0.006676237825782122
I14,interior,entanglement,5,M,-0.005140552697206157
I14,interior,entanglement,6,X,0.30746429786997165
I14,interior,entanglement,7,E,0.009065940244318048
I14,interior,entanglement,8,E,0.3271783698532988
I14,interior,entanglement,9,X,-7.297866015202696e-17
I14,interior,entanglement,10,E,0.008534181068276353
I14,interior,entanglement,11,M,-3.375077994860475e-17
I14,interior,entanglement,12,M,2.7089441800853825e-17
I15,interior,magic,0,M,3.644492115502847e-16
I15,interior,magic,1,M,0.013718487192753514
I15,interior,magic,2,X,0.12773476622922
I15,interior,magic,3,E,0.0
I15,interior,magic,4,E,-7.01660951563099e-17
I15,interior,magic,5,E,1.545430450278218e-16
I15,interior,entanglement,0,M,3.114545658415106e-16
I15,interior,entanglement,1,M,0.00047537785432939675
I15,interior,entanglement,2,X,0.4314271857023589
I15,interior,entanglement,3,E,0.0
I15,interior,entanglement,4,E,0.35185584791594715
I15,interior,entanglement,5,E,0.07429613360979596
I21,interior,magic,0,X,-0.0012641869037723196
I21,interior,magic,1,E,0.0
I21,interior,magic,2,E,0.043118211739619265
I21,interior,magic,3,M,3.4905411894214923e-16
I21,interior,magic,4,M,-0.0027679438746975272
I21,interior,magic,5,M,0.008922959949926569
I21,interior,magic,6,M,0.11961579181282811
I21,interior,magic,7,E,0.0
I21,interior,magic,8,M,-0.029506551781086143
I21,interior,magic,9,M,0.08549000339368043
I21,interior,magic,10,M,0.1382864350717356
I21,interior,magic,11,M,0.006830273080310661
I21,interior,magic,12,X,-0.012224313294693728
I21,interior,magic,13,E,7.815970093361102e-17
I21,interior,entanglement,0,X,0.11685900568120214
I21,interior,entanglement,1,E,0.0
I21,interior,entanglement,2,E,0.2493938443184333
I21,interior,entanglement,3,M,6.572520305780926e-17
I21,interior,entanglement,4,M,7.786364146037764e-17
I21,interior,entanglement,5,M,-1.983598470663613e-16
I21,interior,entanglement,6,M,-0.02286949161092456
I21,interior,entanglement,7,E,0.0
I21,interior,entanglement,8,M,0.0007499805222300573
I21,interior,entanglement,9,M,1.0421293457814803e-16
I21,interior,entanglement,10,M,-0.15097234804652918
I21,interior,entanglement,11,M,-0.001057544172011799
I21,interior,entanglement,12,X,0.023994157372647908
I21,interior,entanglement,13,E,-0.10025291513277743
I22,interior,magic,0,M,0.0557673024921882
I22,interior,magic,1,E,0.0
I22,interior,magic,2,E,0.0
I22,interior,magic,3,X,-7.40444742556671e-16
I22,interior,magic,4,M,-0.01366957444513955
I22,interior,magic,5,M,-0.012167962928267714
I22,interior,magic,6,M,0.008996691160885566
I22,interior,magic,7,M,0.2875675688475636
I22,interior,magic,8,X,0.023368529912090555
I22,interior,magic,9,E,0.0
I22,interior,entanglement,0,M,-0.018656029270931594
I22,interior,entanglement,1,E,0.0
I22,interior,entanglement,2,E,0.0
I22,interior,entanglement,3,X,-3.61488616817951e-16
I22,interior,entanglement,4,M,0.01258604841149413
I22,interior,entanglement,5,M,0.01535397150648451
I22,interior,entanglement,6,M,5.551115123125783e-17
I22,interior,entanglement,7,M,0.14295265596084478
I22,interior,entanglement,8,X,7.460698725481051e-17
I22,interior,entanglement,9,E,0.15625706549737375
I23,interior,magic,1,M,0.0
I23,interior,magic,3,M,0.0
I23,interior,magic,5,E,0.0
I23,interior,magic,6,X,0.33025963959204035
I23,interior,magic,9,M,0.044375802264710947
I23,interior,magic,11,E,-1.486218555631543e-16
I23,interior,entanglement,1,M,0.0
I23,interior,entanglement,3,M,0.0
I23,interior,entanglement,5,E,0.0
I23,interior,entanglement,6,X,-0.055666666666666365
I23,interior,entanglement,9,M,-0.055555555555555344
I23,interior,entanglement,11,E,0.6105555555555544
I24,interior,magic,0,M,0.12672533266575056
I24,interior,magic,1,M,0.030245512155508053
I24,interior,magic,2,E,0.0
I24,interior,magic,3,E,-1.4654943925052065e-16
I24,interior,magic,4,M,0.033080365002077
I24,interior,magic,6,M,0.02869373411521393
I24,interior,magic,7,M,-0.02729891456589346
I24,interior,magic,10,E,0.03015880433770351
I24,interior,magic,11,X,0.025099977970156746
I24,interior,magic,14,M,0.13800829336538886
I24,interior,entanglement,0,M,0.03389265539515352
I24,interior,entanglement,1,M,0.0432435523081145
I24,interior,entanglement,2,E,0.0
I24,interior,entanglement,3,E,0.03344097892492613
I24,interior,entanglement,4,M,0.14209768118601554
I24,interior,entanglement,6,M,0.14127255906849986
I24,interior,entanglement,7,M,5.46229728115577e-17
I24,interior,entanglement,10,E,0.3170684682866694
I24,interior,entanglement,11,X,-6.017408793468348e-16
I24,interior,entanglement,14,M,-2.76667577736589e-16
I25,interior,magic,2,E,0.0
I25,interior,magic,3,M,-2.6219374658459138e-05
I25,interior,magic,4,X,0.0
I25,interior,magic,5,E,-0.139572362519303
I25,interior,magic,6,M,0.058337336837445596
I25,interior,magic,7,M,0.1261029060857102
I25,interior,magic,8,M,-0.008333201972861613
I25,interior,magic,10,M,0.1916290548808957
I25,interior,magic,13,M,0.1221471418684797
I25,interior,magic,15,E,-3.2566542055671258e-18
I25,interior,entanglement,2,E,0.0
I25,interior,entanglement,3,M,6.143234069592533e-17
I25,interior,entanglement,4,X,0.0
I25,interior,entanglement,5,E,0.5151239042562348
I25,interior,entanglement,6,M,0.0007945764487579408
I25,interior,entanglement,7,M,-1.650531563276066e-16
I25,interior,entanglement,8,M,5.0922229396140513e-17
I25,interior,entanglement,10,M,-0.045327262612029434
I25,interior,entanglement,13,M,1.469935284603707e-16
I25,interior,entanglement,15,E,0.42880748854234196
I31,interior,magic,0,M,0.0530555474885979
I31,interior,magic,1,M,8.20084740856449e-17
I31,interior,magic,2,M,-5.385321818115093e-16
I31,interior,magic,3,M,0.08959403255922585
I31,interior,magic,4,E,-0.026763980750003514
I31,interior,magic,5,X,0.07852365386470314
I31,interior,magic,6,M,0.10171882568215052
I31,interior,magic,7,M,-0.0006906409142130944
I31,interior,magic,8,X,0.028602391339359972
I31,interior,magic,9,E,0.0
I31,interior,magic,10,X,0.2768442363150402
I31,interior,magic,11,M,-0.00029978527668286293
I31,interior,magic,12,E,0.0
I31,interior,magic,13,M,4.162911108648941e-05
I31,interior,magic,14,E,0.0
I31,interior,entanglement,0,M,0.012668284932623872
I31,interior,entanglement,1,M,4.4704980458239644e-17
I31,interior,entanglement,2,M,-3.580839328757671e-16
I31,interior,entanglement,3,M,0.0339028556298874
I31,interior,entanglement,4,E,0.012279706585634608
I31,interior,entanglement,5,X,-4.4556950721622954e-17
I31,interior,entanglement,6,M,1.3307873321840208e-16
I31,interior,entanglement,7,M,-0.0008597379328110806
I31,interior,entanglement,8,X,0.011537524893839095
I31,interior,entanglement,9,E,0.012596774563267512
I31,interior,entanglement,10,X,-2.535749388243858e-16
I31,interior,entanglement,11,M,2.1582735598713045e-16
I31,interior,entanglement,12,E,0.011180974312523692
I31,interior,entanglement,13,M,1.6090832370233936e-16
I31,interior,entanglement,14,E,0.010878738063967393
I32,interior,magic,0,X,5.216567918372068e-16
I32,interior,magic,1,E,0.0
I32,interior,magic,2,E,0.0
I32,interior,magic,6,M,0.12646757087633015
I32,interior,magic,7,M,0.15672456346532512
I32,interior,magic,9,E,0.20542616090377908
I32,interior,magic,10,X,0.04303750184959583
I32,interior,magic,11,M,0.10798503925863641
I32,interior,magic,14,E,0.0
I32,interior,magic,16,E,0.0
I32,interior,magic,17,M,-0.0268922062553295
I32,interior,entanglement,0,X,4.470498045823963e-16
I32,interior,entanglement,1,E,0.0
I32,interior,entanglement,2,E,0.0
I32,interior,entanglement,6,M,0.14812543759030647
I32,interior,entanglement,7,M,-6.17284001691587e-17
I32,interior,entanglement,9,E,0.12679537457730242
I32,interior,entanglement,10,X,-2.617165743383036e-16
