benchmark_id,family_role,grid_row,grid_col,candidate_uid,sre,entanglement_q,sre_norm,ent_norm,n_samples,repeats,runtime_magic_mean_s,runtime_entanglement_mean_s,runtime_total_mean_s,top_group_magic,top_margin_magic,top_group_entanglement,top_margin_entanglement,magic_E,entanglement_E,magic_abs_share_E,entanglement_abs_share_E,magic_M,entanglement_M,magic_abs_share_M,entanglement_abs_share_M,magic_X,entanglement_X,magic_abs_share_X,entanglement_abs_share_X
M1,magic_axis,0,1,pool_09710,0.1207969526776893,4.440892098500626e-16,0.0999257827413337,4.440892098500626e-16,300,5,3.8051963586000968,0.40826351680007067,4.213459875400168,X,0.05131238031296146,M,6.344554511391227e-16,0.0,0.0,0.0,0.0,0.03440673160772332,6.344554511391227e-16,0.286422393359399,0.36272850372376436,0.08571911192068478,-1.114663916723657e-15,0.713577606640601,0.6372714962762356
M2,magic_axis,0,2,pool_03954,0.3623214406160397,0.0,0.2997199246749891,0.0,300,5,22.969033233199934,0.5359692504000122,23.505002483599945,M,0.3621235377318029,M,5.281701002483411e-16,0.0,0.0,0.0,0.0,0.3621235377318029,5.281701002483411e-16,0.9999999999999988,0.4826186933585825,-4.269177604025269e-16,-5.662137425588298e-16,1.178928503450973e-15,0.5173813066414176
M3,magic_axis,0,3,pool_05870,0.6034313602558856,1.1102230246251563e-15,0.4991711269830204,1.1102230246251563e-15,300,5,14.334180650000054,0.31530710839997483,14.649487758400028,M,0.6032431079847429,M,2.5194661172160225e-16,0.0,0.0,0.0,0.0,0.6032431079847429,2.5194661172160225e-16,1.0,1.0,0.0,0.0,0.0,0.0
M4,magic_axis,0,4,pool_03923,0.8484722826390092,6.661338147750939e-16,0.7018741375310199,6.661338147750939e-16,300,5,23.169213942000077,0.5377053500000329,23.70691929200011,M,0.506222440205536,M,6.726471231862282e-16,0.0,0.0,0.0,0.0,0.6782367506033422,6.726471231862282e-16,0.7976899785396753,1.0,0.1720143103978063,0.0,0.2023100214603248,0.0
M5,magic_axis,0,5,pool_04417,1.06251038956915,0.0,0.8789309663446966,0.0,300,5,20.458362833199953,0.45393559139993156,20.912298424599886,M,0.5057979782755349,E,0.0,0.0,0.0,0.0,0.0,0.7873890241947576,0.0,0.7365797045316308,0.0,0.2815910459192228,0.0,0.26342029546836926,0.0
E1,entanglement_axis,1,0,pool_02392,0.0727328083967913,0.0743856244321223,0.0601661105592376,0.0743856244321223,300,5,2.5518794168000567,0.2540955082000437,2.8059749250001005,M,0.0730855325752852,E,0.5279366684603833,0.0,0.5279366684603833,0.0,0.5259264759597366,0.0730855325752852,-0.47588552455049044,1.0,0.4740735240402635,0.0,0.0,0.0,0.0
I11,interior,1,1,pool_02369,0.1331726081301338,0.097335223400141,0.1101631855119333,0.097335223400141,300,5,14.68576530800019,0.3182064335999712,15.003971741600163,X,0.13317260813013293,X,0.0012329128297351305,0.0,0.04801871021073588,0.0,0.4936624416277512,-2.1701159388006394e-16,-1.1146639167236572e-16,1.6295512788035607e-15,1.1459443794080203e-15,0.13317260813013293,0.04925162304047101,0.9999999999999983,0.5063375583722477
I12,interior,1,2,pool_02969,0.1805391080145593,0.2087612115384147,0.1493457515597494,0.2087612115384147,300,5,4.676861108399862,0.5902766916000474,5.26713779999991,M,0.19322945309418613,M,0.0014613284807694915,-0.00436148505842288,0.10458936698074482,0.02207330507765642,0.49653121902873937,0.1889643060591416,0.10605069546151431,0.9563409528082476,0.5034687809712596,-0.004265147035044511,-2.1730765335329729e-16,0.021585742114096005,1.0316539543035202e-15
I13,interior,1,3,pool_04007,0.1347108040579976,0.5696273935923661,0.1114356135715337,0.5696273935923661,300,5,30.003129849999915,1.073399208399951,31.076529058399867,X,0.12196461945539684,E,0.01253180265903267,0.0,0.20582536488470765,0.0,0.35471204188481714,0.006373092301299497,0.19329356222567498,0.047309437025969694,0.33311518324607253,0.12833771175669634,0.18114151116237184,0.9526905629740302,0.31217277486911027
I14,interior,1,4,pool_03771,0.1316681676041606,0.699447849700511,0.1089186806315265,0.699447849700511,300,5,38.79316417500004,1.1378277998000157,39.93099197480005,M,0.37614464081754995,E,0.037314193295921505,-0.0858981802787319,0.3447784911658932,0.18448410272413193,0.5114878148822533,0.29024646053881803,0.021827015041995034,0.6233642862701805,0.032380941721391596,-0.08946827113714376,0.3074642978699717,0.19215161100568756,0.456131243396355
