property,scope,n,mean_drop_top_abs,mean_drop_bottom_abs,median_drop_top_abs,median_drop_bottom_abs,count_top_gt_bottom,count_equal,share_top_gt_bottom,mean_advantage_top_minus_bottom
magic,all_circuits,15,0.35020385521520725,0.09355885390071218,0.2674717381531799,0.0,13,2,0.8666666666666667,0.2566450013144951
magic,entanglement_axis,5,0.12725025606307433,4.884981308350689e-16,0.09871939626643611,4.440892098500626e-16,4,1,0.8,0.12725025606307386
magic,interior,5,0.4214025100668312,0.15999028965095913,0.38579326820829785,8.881784197001252e-16,5,0,1.0,0.2614122204158721
magic,magic_axis,5,0.5019587995157162,0.12068627205117695,0.6034313602558847,0.0,4,1,0.8,0.38127252746453927
entanglement,all_circuits,15,0.3232879497456409,0.003229719373037539,0.22363051176196191,0.0,8,7,0.5333333333333333,0.3200582303726034
entanglement,entanglement_axis,5,0.4913929971817902,0.010225231182398663,0.5108744031547481,0.0007147762287387227,3,2,0.6,0.4811677659993915
entanglement,interior,5,0.47847085205513257,-0.0005360730632860911,0.499514015808338,-4.440892098500626e-16,5,0,1.0,0.4790069251184187
entanglement,magic_axis,5,4.4408920985006264e-17,4.4408920985006264e-17,0.0,0.0,0,5,0.0,0.0
